Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,Comments,FEM Power?,Optical Power (into node),Optical Power (into PAM),Optical Power (at FEM),Optical Power (through fiber),RF Power
107,E,21,44,1,35,C10,e2,0,digital_ok,,Yes,,,,,
107,N,21,44,1,35,C10,n0,0,digital_ok,,Yes,,,,,
90,E,17,39,2,36,C10,e6,0,RF_maintenance,,Yes,,,,,
90,N,17,39,2,36,C10,n4,0,RF_maintenance,,Yes,,,,,
88,E,15,38,3,37,C10,e10,0,digital_ok,,Yes,,,,,
88,N,15,38,3,37,C10,n8,0,digital_ok,,Yes,,,,,
105,E,19,36,4,38,C11,e2,1,digital_ok,,Yes,,,,,
105,N,19,36,4,38,C11,n0,1,digital_ok,,Yes,,,,,
108,E,22,33,5,300,C11,e6,1,RF_maintenance,,Yes and now (half green half red),,,,,
108,N,22,33,5,300,C11,n4,1,RF_maintenance,,Yes and now (half green half red),,,,,
91,E,18,35,6,40,C11,e10,1,digital_ok,,Yes and now (half green half red),,,,,
91,N,18,35,6,40,C11,n8,1,digital_ok,,Yes and now (half green half red),,,,,
325,E,276,269,7,325,C13,e2,2,digital_ok,,Yes,,,,,
325,N,276,269,7,325,C13,n0,2,digital_ok,,Yes,,,,,
124,E,24,32,8,344,C13,e6,2,RF_maintenance,,Yes,none,none,,,
124,N,24,32,8,344,C13,n4,2,RF_maintenance,,Yes,N: 4.2,N: 2.9,,,
89,E,16,31,9,23,C13,e10,2,RF_maintenance,,Yes,,,,,
89,N,16,31,9,23,C13,n8,2,RF_maintenance,,Yes,,,,,
106,E,20,30,10,44,C33,e2,3,digital_ok,,Yes,,,,,
106,N,20,30,10,44,C33,n0,3,digital_ok,,Yes,,,,,
126,E,13,28,11,45,C33,e6,3,RF_maintenance,,Yes,,,,,
126,N,13,28,11,45,C33,n4,3,RF_maintenance,,Yes,,,,,
125,E,25,29,12,46,C33,e10,3,RF_maintenance,,Yes,,,,,
125,N,25,29,12,46,C33,n8,3,RF_maintenance,,Yes,,,,,
#END,,,,,,,,,,,,,,,,
NCM,2,,,,,,,,,,,,,,,
FPS,2,,,,,,,,,,,,,,,
PCH,2,,,,,,,,,,,,,,,
