Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,Comments,Optical Power (into node),Optical Power (into PAM),Optical Power (at FEM),Optical Power (through fiber),RF Power
196,E,240,382,1,380,C87,e2,0,,,,,,,
196,N,240,382,1,380,C87,n0,0,,,,,,,
197,E,232,337,2,381,C87,e6,0,,,,,,,
197,N,232,337,2,381,C87,n4,0,,,,,,,
198,E,280,204,3,382,C87,e10,0,,,,,,,
198,N,280,204,3,382,C87,n8,0,,,,,,,
199,E,279,384,4,383,C34,e2,1,,,,,,,
199,N,279,384,4,383,C34,n0,1,,,,,,,
235,E,225,313,5,384,C34,e6,1,,,,,,,
235,N,225,313,5,384,C34,n4,1,,,,,,,
,E,,,6,385,C34,e10,1,,,,,,,
,N,,,6,385,C34,n8,1,,,,,,,
215,E,257,145,7,386,C52,e2,2,,,,,,,
215,N,257,145,7,386,C52,n0,2,,,,,,,
216,E,235,376,8,387,C52,e6,2,,,,,,,
216,N,235,376,8,387,C52,n4,2,,,,,,,
217,E,200,386,9,388,C52,e10,2,,,,,,,
217,N,200,386,9,388,C52,n8,2,,,,,,,
218,E,209,296,10,389,C31,e2,3,,,,,,,
218,N,209,296,10,389,C31,n0,3,,,,,,,
233,E,254,381,11,390,C31,e6,3,,,,,,,
233,N,254,381,11,390,C31,n4,3,,,,,,,
234,E,226,388,12,391,C31,e10,3,,,,,,,
234,N,226,388,12,391,C31,n8,3,,,,,,,
#END,,,,,,,,,,,,,,,
NCM,4,,,,,,,,,,,,,,
FPS,23,,,,,,,,,,,,,,
PCH,,,,,,,,,,,,,,,
