Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,Comments
196,E,240,46,1,380,C46,e2,0,RF_maintenance,
196,N,240,46,1,380,C46,n0,0,RF_maintenance,
197,E,232,337,2,381,C46,e6,0,RF_maintenance,
197,N,232,337,2,381,C46,n4,0,RF_maintenance,
198,E,280,204,3,382,C46,e10,0,RF_maintenance,
198,N,280,204,3,382,C46,n8,0,RF_maintenance,
199,E,279,384,4,383,A8,e2,1,RF_maintenance,
199,N,279,384,4,383,A8,n0,1,RF_maintenance,
235,E,225,313,5,384,A8,e6,1,RF_maintenance,
235,N,225,313,5,384,A8,n4,1,RF_maintenance,
,,314,,6,385,A8,e10,1,RF_maintenance,
,,314,,6,385,A8,n8,1,RF_maintenance,
215,E,257,145,7,386,A20,e2,2,RF_maintenance,
215,N,257,145,7,386,A20,n0,2,RF_maintenance,
216,E,235,376,8,387,A20,e6,2,RF_maintenance,
216,N,235,376,8,387,A20,n4,2,RF_maintenance,
217,E,200,386,9,388,A20,e10,2,RF_maintenance,
217,N,200,386,9,388,A20,n8,2,RF_maintenance,
218,E,209,296,10,389,C97,e2,3,RF_maintenance,
218,N,209,296,10,389,C97,n0,3,RF_maintenance,
233,E,254,381,11,390,C97,e6,3,RF_maintenance,
233,N,254,381,11,390,C97,n4,3,RF_maintenance,
234,E,226,388,12,391,C97,e10,3,RF_maintenance,
234,N,226,388,12,391,C97,n8,3,RF_maintenance,
#END,,,,,,,,,,
NCM,7,,,,,,,,,
FPS,23,,,,,,,,,
PCH,25,,,,,,,,,
