Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,Comments,FEM Power?,Optical Power (into node),Optical Power (into PAM),Optical Power (at FEM),Optical Power (through fiber),RF Power,Ticket
175,E,258,293,1,305,C99,e2,0,,,,,,,,,
175,N,258,293,1,305,C99,n0,0,,,,,,,,,
195,E,259,302,2,306,C99,e6,0,,,,,,,,,
195,N,259,302,2,306,C99,n4,0,,,,,,,,,
214,E,216,310,3,307,C99,e10,0,,,,,,,,,
214,N,216,310,3,307,C99,n8,0,,,,,,,,,
332,E,323,308,4,308,C127,e2,1,,,,,,,,,
332,N,323,308,4,308,C127,n0,1,,,,,,,,,
336,E,315,299,5,309,C127,e6,1,,,,,,,,,
336,N,315,299,5,309,C127,n4,1,,,,,,,,,
340,E,332,331,6,310,C127,e10,1,,,,,,,,,
340,N,332,331,6,310,C127,n8,1,,,,,,,,,
212,E,256,294,7,311,C98,e2,2,,,,,,,,,
212,N,256,294,7,311,C98,n0,2,,,,,,,,,
231,E,220,298,8,312,C98,e6,2,,,,,,,,,
231,N,220,298,8,312,C98,n4,2,,,,,,,,,
232,E,219,304,9,313,C98,e10,2,,,,,,,,,Feed conduit feel out and is hanging on the cables.
232,N,219,304,9,313,C98,n8,2,,,,,,,,,
326,E,331,309,10,314,C27,e2,3,,,,,,,,,
326,N,331,309,10,314,C27,n0,3,,,,,,,,,
327,E,318,306,11,315,C27,e6,3,,,,,,,,,
327,N,318,306,11,315,C27,n4,3,,,,,,,,,
331,E,265,316,12,316,C27,e10,3,,,,,,,,,
331,N,265,316,12,316,C27,n8,3,,,,,,,,,
#END,,,,,,,,,,,,,,,,,
NCM,14,,,,,,,,,,,,,,,,
FPS,24,,,,,,,,,,,,,,,,
PCH,22,,,,,,,,,,,,,,,,
