Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,Comments,FEM Power?,Optical Power (into node),Optical Power (into PAM),Optical Power (at FEM),Optical Power (through fiber),RF Power
204,E,197,919,1,13,C78,e2,0,RF_maintenance,"feed not tied down vertically, but with yellow caps",Yes,,E: 4.5,,,-21.6
204,N,197,919,1,13,C78,n0,0,RF_maintenance,,,,N: 5.9,,,-24.15
205,E,211,224,2,222,C78,e6,0,RF_ok,,Yes,,,,,
205,N,211,224,2,222,C78,n4,0,RF_ok,,,,,,,
206,E,184,221,3,223,C78,e10,0,RF_ok,,Yes,,,,,
206,N,184,221,3,223,C78,n8,0,RF_ok,,,,,,,
207,E,210,232,4,224,C8,e2,1,RF_maintenance,,Yes,null,null,4.8,null,
207,N,210,232,4,224,C8,n0,1,RF_maintenance,,,,,,,
223,E,172,227,5,225,C8,e6,1,RF_ok,,Yes,,,,,
223,N,172,227,5,225,C8,n4,1,RF_ok,,,,,,,
224,E,202,228,6,226,C8,e10,1,RF_ok,,Yes,,,,,
224,N,202,228,6,226,C8,n8,1,RF_ok,,,,,,,
225,E,198,230,7,227,C61,e2,2,RF_maintenance,,No,,,,,
225,N,198,230,7,227,C61,n0,2,RF_maintenance,,,,N: 5.2,,,-30.65
226,E,185,225,8,228,C61,e6,2,RF_ok,,No,,,,,
226,N,185,225,8,228,C61,n4,2,RF_ok,,,,,,,
240,E,182,229,9,229,C61,e10,2,RF_maintenance,,No,,,,,
240,N,182,229,9,229,C61,n8,2,RF_maintenance,,,,,,,
241,E,203,223,10,230,C25,e2,3,RF_ok,,No,,,,,
241,N,203,223,10,230,C25,n0,3,RF_ok,,,,,,,
242,E,171,226,11,231,C25,e6,3,RF_ok,,No,,,,,
242,N,171,226,11,231,C25,n4,3,RF_ok,,,,,,,
243,E,193,222,12,232,C25,e10,3,RF_ok,,No,,,,,
243,N,193,222,12,232,C25,n8,3,RF_ok,,,,,,,
#END,,,,,,,,,,,,,,,,
NCM,18,,,,,,,,,,,,,,,
FPS,17,,,,,,,,,,,,,,,
PCH,16,,,,,,,,,,,,,,,
