Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,History,Comments,Spectre,Feed heights (NE/SE/SW/NW),Feed Installed By
204,E,197,231,1,221,C78,e2,0,RF_maintenance,,North channel low,,,
204,N,197,231,1,221,C78,n0,0,RF_maintenance,,,,,
205,E,211,224,2,222,C78,e6,0,RF_ok,,door closed 08/11/2021,N19P2E,4.404,
205,N,211,224,2,222,C78,n4,0,RF_ok,,,N19P2N,,
206,E,184,221,3,223,C78,e10,0,RF_ok,,door closed 08/11/21,N19P3E,4.404,
206,N,184,221,3,223,C78,n8,0,RF_ok,,,N19P3N,,
207,E,210,232,4,224,C8,e2,1,RF_ok,,door closed 08/11/2021,N19P4E,4.408,
207,N,210,232,4,224,C8,n0,1,RF_ok,,,N19P4N,,
223,E,172,227,5,225,C8,e6,1,RF_ok,,door closed 08/11/2021,N19P5E,4.405,
223,N,172,227,5,225,C8,n4,1,RF_ok,,,N19P5N,,
224,E,202,228,6,226,C8,e10,1,RF_ok,,door closed 08/11/2021,N19P6E,4.404,
224,N,202,228,6,226,C8,n8,1,RF_ok,,,N19P6N,,
225,E,198,230,7,227,C61,e2,2,RF_ok,,door closed 08/11/2021,N19P7E,4.412,
225,N,198,230,7,227,C61,n0,2,RF_ok,,,N19P7N,,
226,E,185,225,8,228,C61,e6,2,RF_ok,,door closed 08/11/2021,N19P8E,4.412,
226,N,185,225,8,228,C61,n4,2,RF_ok,,,N19P8N,,
240,E,182,229,9,229,C61,e10,2,RF_maintenance,,,,4.409,
240,N,182,229,9,229,C61,n8,2,RF_maintenance,,,,,
241,E,203,223,10,230,C25,e2,3,RF_ok,,door closed 08/11/2021,N19P10E,4.405,
241,N,203,223,10,230,C25,n0,3,RF_ok,,,N19P10N,,
242,E,171,226,11,231,C25,e6,3,RF_ok,,door closed 08/11/2021,N19P11E,4.404,
242,N,171,226,11,231,C25,n4,3,RF_ok,,,N19P11N,,
243,E,193,222,12,232,C25,e10,3,RF_ok,,door closed 08/11/2021,N19P12E,4.406,
243,N,193,222,12,232,C25,n8,3,RF_ok,,,N19P12N,,
Date:,2019/11/18,,,,,,,,,,,,,
NCM,18,,,,,,,,,,,,,
FPS,17,,,,,,,,,,,,,
PCH,16,,,,,,,,,,,,,
,These need to be completed by the site crew,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Note,2019Nov11,,MRD,,"Node Enclosure now stores 1 bag of 20 LMR195 coax cables, 1 bag of 50 RG402 coax cables, 2 long C13/C14 power cables, 1 short C13/C14 power cable, 5 blue CAT7 RJ45s (for NCM), 4 of D-Sub37 cables, 4 of D-Sub9 cables",,,,,,,,,
Note,2019Nov11,,MRD,,"for other Nodes, storing pile of D-Sub37 cables",,,,,,,,,
Note,2019Nov11,,MRD,,due to come online 2020mar21,,,,,,,,,
