Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,History,Comments,Feed heights (NE/SE/SW/NW),Feed Installed By
204,E,197,231,1,221,C78,e2,0,,,,,
204,N,197,231,1,221,C78,n0,0,,,,,
205,E,211,224,2,222,C78,e6,0,,,,,
205,N,211,224,2,222,C78,n4,0,,,,,
206,E,184,221,3,223,C78,e10,0,,,,4.404,
206,N,184,221,3,223,C78,n8,0,,,,,
207,E,210,232,4,224,C8,e2,1,,,,,
207,N,210,232,4,224,C8,n0,1,,,,,
223,E,172,227,5,225,C8,e6,1,,,,4.405,
223,N,172,227,5,225,C8,n4,1,,,,,
224,E,202,228,6,226,C8,e10,1,,,,,
224,N,202,228,6,226,C8,n8,1,,,,,
225,E,198,230,7,227,C61,e2,2,,,,4.412,
225,N,198,230,7,227,C61,n0,2,,,,,
226,E,185,225,8,228,C61,e6,2,,,,,
226,N,185,225,8,228,C61,n4,2,,,,,
240,E,182,229,9,229,C61,e10,2,,,,,
240,N,182,229,9,229,C61,n8,2,,,,,
241,E,203,223,10,230,C25,e2,3,,,,,
241,N,203,223,10,230,C25,n0,3,,,,,
242,E,171,226,11,231,C25,e6,3,,,,4.404,
242,N,171,226,11,231,C25,n4,3,,,,,
243,E,193,222,12,232,C25,e10,3,,,,4.406,
243,N,193,222,12,232,C25,n8,3,,,,,
Date:,2019/11/18,,,,,,,,,,,,
NCM,18,,,,,,,,,,,,
FPS,17,,,,,,,,,,,,
PCH,16,,,,,,,,,,,,
,These need to be completed by the site crew,,,,,,,,,,,,
,,,,,,,,,,,,,
Note,2019Nov11,,MRD,,"Node Enclosure now stores 1 bag of 20 LMR195 coax cables, 1 bag of 50 RG402 coax cables, 2 long C13/C14 power cables, 1 short C13/C14 power cable, 5 blue CAT7 RJ45s (for NCM), 4 of D-Sub37 cables, 4 of D-Sub9 cables",,,,,,,,
Note,2019Nov11,,MRD,,"for other Nodes, storing pile of D-Sub37 cables",,,,,,,,
Note,2019Nov11,,MRD,,due to come online 2020mar21,,,,,,,,
