Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,History,Comments,Feed heights (NE/SE/SW/NW),Feed Installed By,H6C,H6Ccheck
283,E,272,356,1,320,C118,e2,0,,,,,,,
283,N,272,356,1,320,C118,n0,0,,,,,,,
282,E,263,357,2,321,C118,e6,0,,,,,,,
282,N,263,357,2,321,C118,n4,0,,,,,,,
253,E,283,348,3,322,C118,e10,0,,,,,,,
253,N,283,348,3,322,C118,n8,0,,,,,,,
252,E,261,360,4,323,C123,e2,1,,,,,,,
252,N,261,360,4,323,C123,n0,1,,,,,,,
268,E,234,346,5,324,C123,e6,1,,,,,,,
268,N,234,346,5,324,C123,n4,1,,,,,,,
267,E,346,359,6,345,C123,e10,1,,,,,,,
267,N,346,359,6,345,C123,n8,1,,,,,,,
250,E,260,350,7,214,C126,e2,2,,,,,,,
250,N,260,350,7,214,C126,n0,2,,,,,,,
269,E,248,365,8,123,C126,e6,2,,,,,,,
269,N,248,365,8,123,C126,n4,2,,,,,,,
266,E,224,361,9,10,C126,e10,2,,,,,,,
266,N,224,361,9,10,C126,n8,2,,,,,,,
281,E,264,367,10,207,C128,e2,3,,,,,,,
281,N,264,367,10,207,C128,n0,3,,,,,,,
251,E,266,,11,62,C128,e6,3,,,,,,,
251,N,266,,11,62,C128,n4,3,,,,,,,
295,E,325,366,12,19,C128,e10,3,,,,,,,
295,N,325,366,12,19,C128,n8,3,,,,,,,
#END,,,,,,,,,,,,,,,
NCM,17,,,,,,,,,,,,,,
FPS,25,,,,,,,,,,,,,,
PCH,21,,,,,,,,,,,,,,
