Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,Comments
200,E,194,251,1,233,A22,e2,0,RF_maintenance,E: low optical power at node -2.4
200,N,194,251,1,233,A22,n0,0,RF_maintenance,
201,E,159,247,2,234,A22,e6,0,RF_maintenance,
201,N,159,247,2,234,A22,n4,0,RF_maintenance,
202,E,199,245,3,235,A22,e10,0,digital_ok,
202,N,199,245,3,235,A22,n8,0,digital_ok,
203,E,201,250,4,360,C114,e2,1,RF_maintenance,
203,N,201,250,4,360,C114,n0,1,RF_maintenance,
219,E,205,258,5,237,C114,e6,1,RF_maintenance,
219,N,205,258,5,237,C114,n4,1,RF_maintenance,
236,E,51,267,6,238,C114,e10,1,dish_maintenance,
236,N,51,267,6,238,C114,n8,1,dish_maintenance,
220,E,208,256,7,239,C83,e2,2,RF_maintenance,
220,N,208,256,7,239,C83,n0,2,RF_maintenance,
221,E,207,246,8,240,C83,e6,2,RF_ok,
221,N,207,246,8,240,C83,n4,2,RF_ok,
222,E,206,268,9,241,C83,e10,2,RF_ok,
222,N,206,268,9,241,C83,n8,2,RF_ok,
239,E,160,1267,10,242,C119,e2,3,RF_ok,
239,N,160,1267,10,242,C119,n0,3,RF_ok,
238,E,204,263,11,243,C119,e6,3,RF_ok,
238,N,204,263,11,243,C119,n4,3,RF_ok,
237,E,227,253,12,244,C119,e10,3,RF_ok,
237,N,227,253,12,244,C119,n8,3,RF_ok,
#END,,,,,,,,,,
NCM,71,,,,,,,,,
FPS,20,replaced #31,,,,,,,,
PCH,15,,,,,,,,,
