upstream_part,up_part_rev,downstream_part,down_part_rev,upstream_output_port,downstream_input_port,start_gpstime,stop_gpstime
HH283,A,A283,H,ground,ground,1228564818,
HH297,A,A297,H,ground,ground,1228737618,
A2,H,FDV8,A,focus,input,1233057618,
FEM919,A,NBP19,A,e,e1,1359473718,
CR5B2N,A,CC4R2C2,A,b,a,1096484416,1180310418.0
CR5B3E,A,CC4R1C3,A,b,a,1096484416,1180310418.0
CR5B3N,A,CC4R2C3,A,b,a,1096484416,1180310418.0
CR5B4E,A,CC4R1C4,A,b,a,1096484416,1180310418.0
CR5B4N,A,CC4R2C4,A,b,a,1096484416,1180310418.0
CR5B5E,A,CC4R1C5,A,b,a,1096484416,1180310418.0
CR5B5N,A,CC4R2C5,A,b,a,1096484416,1180310418.0
CR5B6E,A,CC4R1C6,A,b,a,1096484416,1180310418.0
CR5B6N,A,CC4R2C6,A,b,a,1096484416,1180310418.0
CR5B7E,A,CC4R1C7,A,b,a,1096484416,1180310418.0
CR5B7N,A,CC4R2C7,A,b,a,1096484416,1180310418.0
CR5B8E,A,CC4R1C8,A,b,a,1096484416,1180310418.0
CR5B8N,A,CC4R2C8,A,b,a,1096484416,1180310418.0
FDV2,A,FEM92,A,terminals,input,1221388218,1224928818.0
CR6A1E,A,CC4R3C1,A,b,a,1096484416,1180310418.0
CR6A1N,A,CC4R4C1,A,b,a,1096484416,1180310418.0
CR6A2E,A,CC4R3C2,A,b,a,1096484416,1180310418.0
HH206,A,A206,H,ground,ground,1226404818,
CR6A2N,A,CC4R4C2,A,b,a,1096484416,1180310418.0
CR6A3E,A,CC4R3C3,A,b,a,1096484416,1180310418.0
CR6A3N,A,CC4R4C3,A,b,a,1096484416,1180310418.0
CR6A4E,A,CC4R3C4,A,b,a,1096484416,1180310418.0
CR6A4N,A,CC4R4C4,A,b,a,1096484416,1180310418.0
CR6A5E,A,CC4R3C5,A,b,a,1096484416,1180310418.0
CR6A5N,A,CC4R4C5,A,b,a,1096484416,1180310418.0
CR6A6E,A,CC4R3C6,A,b,a,1096484416,1180310418.0
CR6A6N,A,CC4R4C6,A,b,a,1096484416,1180310418.0
CR6A7E,A,CC4R3C7,A,b,a,1096484416,1180310418.0
CR6A7N,A,CC4R4C7,A,b,a,1096484416,1180310418.0
CR6A8E,A,CC4R3C8,A,b,a,1096484416,1180310418.0
CR6A8N,A,CC4R4C8,A,b,a,1096484416,1180310418.0
CR6B1E,A,CC4R5C1,A,b,a,1096484416,1180310418.0
CR6B1N,A,CC4R6C1,A,b,a,1096484416,1180310418.0
CR6B2E,A,CC4R5C2,A,b,a,1096484416,1180310418.0
